Full Name,Date of Birth,Phone,Email,Bed Types Needed,Status,Notes,Pets,Pet name(s) and species,Vehicle,Vehicle Details,VI Score,UniteUs,HMIS,Mailing Address,Employed,ADA Accommodations,Housing Preference,Needs Medical Respite,Date Added
Roger Ramos,1987-07-10,505-555-7065,roger_ramos@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recqysbkrelgYADCo",Unhoused,"Willing to work, looking for opportunities. Open to housing opportunities.",true,Bailey (large dog),false,,,false,false,true,false,,"Seeking Shelter Placement",false,2025-06-12
Mary Torres,1990-08-11,505-555-9159,mary_torres@example.com,"recA2HEjmy46Zz5KE",Unhoused,"Willing to work, looking for opportunities. Working part-time at local restaurant. Receives SSI benefits.",false,,false,,,false,false,true,false,,"Prefers Vehicle, Seeking Shelter Placement",false,2025-07-21
Maria Gonzalez,1959-03-11,505-555-7101,maria_gonzalez@example.com,"reclIU5ZYnCmzhB8b, recBTyhWRG9EJWm0V",Unhoused,Estranged from family. Lost everything in recent fire.,false,,true,white van - runs well,,true,false,true,false,,"Seeking Shelter Placement",false,2025-05-10
Lisa Collins,2004-02-28,505-555-8568,lisa_collins@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recBTyhWRG9EJWm0V",Unhoused,Previously lived in Denver.,false,,true,RV (older model) - fair condition,,false,true,false,false,,"Unsheltered by Choice",false,2025-07-27
Victoria Fisher,1982-12-10,505-555-2338,victoria_fisher@example.com,"recBTyhWRG9EJWm0V",Unhoused,"Needs help with disability application. Has GED, interested in vocational training.",true,Oreo (chihuahua),false,,,false,false,true,false,,"Seeking Shelter Placement",false,2025-06-26
Jacqueline Diaz,1988-12-05,505-555-9333,jacqueline_diaz@example.com,"rec5rstKxttDwp71g, recJQ852bannc7UuF",Unhoused,Interested in substance abuse treatment.,true,Princess (chihuahua),false,,,true,false,false,false,,"Seeking Shelter Placement",false,2025-07-28
Raymond Smith,1996-08-07,505-555-3705,raymond_smith@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recBTyhWRG9EJWm0V",Unhoused,Waiting for shelter bed.,false,,false,,,false,false,false,false,,"Seeking Shelter Placement",false,2025-01-23
Sara Fisher,1989-05-28,505-555-1161,sara_fisher@example.com,"recBTyhWRG9EJWm0V",Placed,"Applied for Medicaid, waiting for approval.",true,Sadie (shepherd mix),false,,89,false,false,true,false,,"Seeking Shelter Placement",false,2025-04-09
Donald Aguilar,1979-11-22,505-555-1099,donald_aguilar@example.com,"rec6BYXTiszjS4Fiy, recqysbkrelgYADCo",Unhoused,Receives SSI benefits.,true,Molly (dog),false,,,true,false,false,false,,"Prefers Vehicle, Seeking Shelter Placement",true,2025-10-05
Jacob Alvarez,1954-04-28,505-555-9636,jacob_alvarez@example.com,"rec9b2J2UTwKTpD5C",Placed,Previously lived in Denver.,false,,false,,96,false,false,false,false,,"Staying with Family/Friends",false,2025-05-03
Ruth Nelson,1981-01-14,505-555-1465,ruth_nelson@example.com,,Unhoused,Open to housing opportunities. Been on streets for 3 months.,true,"Bella (shepherd mix), Jack (cat (gray))",false,,,false,true,false,false,,"Seeking Shelter Placement",false,2025-03-19
Jeffrey Thomas,1970-07-14,505-555-7820,jeffrey_thomas@example.com,"rec6BYXTiszjS4Fiy",Placed,Recently lost job and housing.,true,Lucy (chihuahua),true,1998 Honda Civic - runs well,87,false,false,true,false,,"Seeking Shelter Placement",false,2025-02-22
Anna Barnes,1991-05-03,505-555-3457,anna_barnes@example.com,,Unhoused,"Connected with HUGS outreach team. Estranged from family. Willing to work, looking for opportunities.",true,"Oreo (small dog), Sadie (dog)",false,,,false,false,true,false,,"Seeking Shelter Placement",false,2025-06-13
Debra Reyes,1950-06-15,505-555-6327,debra_reyes@example.com,"rec5rstKxttDwp71g, recJQ852bannc7UuF",Unhoused,Recently lost job and housing.,false,,false,,,false,false,false,false,,"Seeking Shelter Placement",false,2025-11-23
Abigail Fisher,1964-12-23,505-555-4466,abigail_fisher@example.com,"recA2HEjmy46Zz5KE",Unhoused,"Health issues - needs regular medical care. Has ID, needs birth certificate.",false,,true,older pickup truck - not running,,false,false,false,false,,"Seeking Shelter Placement",true,2025-07-08
Martha Gray,1988-05-16,505-555-4239,martha_gray@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK",Unhoused,Prefers to stay in current location.,false,,true,2002 Honda Accord - fair condition,,true,false,true,false,,"Seeking Shelter Placement",false,2025-08-24
Hannah James,2000-03-20,505-555-7079,hannah_james@example.com,"rec5rstKxttDwp71g, recJQ852bannc7UuF",Unhoused,Working with case manager weekly. Attended last case conferencing meeting.,true,Sadie (pit bull mix),false,,,false,false,false,false,,"Seeking Shelter Placement",false,2025-01-11
Ryan Castro,1951-03-07,505-555-3815,ryan_castro@example.com,"rec9b2J2UTwKTpD5C",Unhoused,Working part-time at local restaurant. Estranged from family. Been on streets for over a year.,false,,false,,,false,false,false,false,,"Seeking Shelter Placement",false,2025-01-15
Ann Evans,1967-06-25,505-555-9014,ann_evans@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK",Other Exit,"Working with case manager weekly. Previously housed at shelter, had to leave. Attended last case conferencing meeting.",true,Bailey (cat),true,older pickup truck - not running,,false,true,false,true,,"Other",false,2025-10-24
Melissa Walker,2002-10-26,505-555-2464,melissa_walker@example.com,"recA2HEjmy46Zz5KE, recqysbkrelgYADCo",Unhoused,Health issues - needs regular medical care. Lost everything in recent fire.,false,,false,,,false,true,false,false,,"Prefers Vehicle",false,2025-03-08
Judy Vargas,1949-12-05,505-555-6472,judy_vargas@example.com,"recA2HEjmy46Zz5KE, recBTyhWRG9EJWm0V",Unhoused,Receives SSI benefits. Interested in substance abuse treatment.,false,,true,2006 Toyota Corolla - runs well,,false,true,false,false,,"Seeking Shelter Placement",false,2025-04-26
Bryan Lee,2003-06-06,505-555-9383,bryan_lee@example.com,"rec5rstKxttDwp71g, recJQ852bannc7UuF, recqysbkrelgYADCo",Exited to Housing,Needs assistance with housing applications. Needs assistance with housing applications.,false,,true,2007 Nissan Sentra - fair condition,,true,false,true,false,,"Undecided",false,2025-04-27
